customer_id,age,annual_income,years_employed,credit_score,loan_amount,loan_term_months,num_credit_cards,debt_to_income,defaulted
CUST0001,26,64917.0,6.1,690.0,53052,36,6,0.817,0
CUST0002,55,106360.0,11.7,724.0,62891,48,4,0.591,0
CUST0003,50,102194.0,10.0,682.0,58907,48,5,0.576,0
CUST0004,41,62965.0,2.9,645.0,17298,36,2,0.275,0
CUST0005,41,78537.0,0.1,763.0,67499,60,0,0.859,0
CUST0006,59,114953.0,10.9,720.0,98212,12,2,0.854,0
CUST0007,26,55950.0,3.2,622.0,47059,12,7,0.841,1
CUST0008,52,108152.0,10.9,692.0,102348,12,6,0.946,0
CUST0009,31,106887.0,7.9,783.0,82098,60,6,0.768,0
CUST0010,26,96007.0,5.2,739.0,80629,36,7,0.84,0
CUST0011,45,74520.0,10.6,749.0,62574,36,2,0.84,0
CUST0012,63,92042.0,12.2,709.0,67018,48,2,0.728,0
CUST0013,53,120954.0,11.3,768.0,79037,36,7,0.653,0
CUST0014,54,70646.0,7.6,656.0,101696,36,4,1.44,1
CUST0015,53,71362.0,9.1,688.0,43579,12,2,0.611,0
CUST0016,56,90947.0,10.8,782.0,53561,12,2,0.589,0
CUST0017,44,98823.0,10.6,777.0,83665,60,7,0.847,0
CUST0018,28,61144.0,3.8,614.0,51399,36,0,0.841,1
CUST0019,58,94082.0,12.2,671.0,39656,12,0,0.422,0
CUST0020,41,67547.0,6.6,699.0,75359,24,5,1.116,0
CUST0021,44,71635.0,7.6,810.0,51654,24,0,0.721,0
CUST0022,38,73407.0,9.6,583.0,30615,24,1,0.417,0
CUST0023,30,84824.0,0.0,686.0,89771,24,7,1.058,1
CUST0024,61,91543.0,6.9,612.0,82422,48,3,0.9,1
CUST0025,55,92421.0,5.3,653.0,41496,12,5,0.449,0
CUST0026,50,57104.0,1.6,643.0,81926,24,3,1.435,1
CUST0027,39,68251.0,4.9,657.0,65682,36,0,0.962,0
CUST0028,57,94757.0,12.8,694.0,70843,36,1,0.748,0
CUST0029,45,41944.0,7.3,,66443,60,6,1.584,1
CUST0030,41,62090.0,8.1,662.0,50072,60,0,0.806,0
CUST0031,41,65121.0,10.9,616.0,48223,24,4,0.741,0
CUST0032,32,52033.0,10.1,753.0,24498,36,2,0.471,0
CUST0033,26,46290.0,4.5,,47518,12,2,1.027,0
CUST0034,46,120374.0,,792.0,100766,48,7,0.837,0
CUST0035,60,100613.0,11.2,624.0,75783,12,4,0.753,0
CUST0036,25,74318.0,1.9,693.0,38359,12,4,0.516,0
CUST0037,59,98865.0,8.8,756.0,77007,48,2,0.779,0
CUST0038,57,92718.0,5.6,629.0,68003,12,3,0.733,0
CUST0039,34,49987.0,3.3,672.0,8154,36,5,0.163,0
CUST0040,49,92959.0,7.8,699.0,37339,12,0,0.402,0
CUST0041,29,87631.0,7.8,824.0,78157,48,1,0.892,0
CUST0042,54,104050.0,15.3,850.0,20796,48,4,0.2,0
CUST0043,52,85233.0,5.0,583.0,68444,36,4,0.803,1
CUST0044,37,89233.0,8.0,850.0,56407,60,0,0.632,0
CUST0045,25,44337.0,1.2,601.0,62034,36,6,1.399,1
CUST0046,63,91818.0,13.0,793.0,58007,12,4,0.632,0
CUST0047,41,61258.0,7.0,755.0,60452,12,1,0.987,0
CUST0048,60,81838.0,5.1,626.0,52646,24,6,0.643,1
CUST0049,51,105805.0,12.2,762.0,81856,24,7,0.774,0
CUST0050,55,76752.0,8.1,695.0,73774,24,3,0.961,0
CUST0051,54,88619.0,8.1,742.0,56288,24,2,0.635,0
CUST0052,31,67058.0,2.2,687.0,72218,36,2,1.077,1
CUST0053,38,79553.0,4.8,766.0,37803,12,4,0.475,0
CUST0054,42,109518.0,9.0,722.0,88620,48,0,0.809,0
CUST0055,43,99695.0,7.2,695.0,95069,24,3,0.954,0
CUST0056,24,51421.0,5.4,753.0,53087,48,0,1.032,0
CUST0057,45,113774.0,9.3,758.0,127492,36,0,1.121,0
CUST0058,29,74515.0,9.5,755.0,39091,60,3,0.525,0
CUST0059,54,,8.7,671.0,49108,36,5,0.464,0
CUST0060,51,75740.0,4.5,618.0,34930,24,7,0.461,1
CUST0061,61,106738.0,14.5,704.0,94583,36,0,0.886,0
CUST0062,54,63485.0,8.8,660.0,58568,48,1,0.923,0
CUST0063,38,87087.0,10.5,767.0,67565,36,3,0.776,0
CUST0064,63,84249.0,12.7,789.0,38482,36,4,0.457,0
CUST0065,40,92769.0,6.9,692.0,86448,36,7,0.932,0
CUST0066,36,102052.0,7.7,802.0,49595,24,5,0.486,0
CUST0067,61,110486.0,17.3,844.0,108361,24,4,0.981,0
CUST0068,38,104730.0,13.6,752.0,141411,60,0,1.35,0
CUST0069,26,54699.0,4.9,,49086,48,0,0.897,1
CUST0070,42,73753.0,8.1,803.0,68143,12,1,0.924,0
CUST0071,56,119377.0,13.6,737.0,78690,60,5,0.659,0
CUST0072,30,59202.0,2.7,680.0,5000,48,2,0.084,0
CUST0073,42,111315.0,8.7,694.0,70226,12,1,0.631,0
CUST0074,28,,5.0,625.0,20602,48,5,0.346,1
CUST0075,51,109430.0,10.3,627.0,50238,36,6,0.459,0
CUST0076,42,74101.0,5.0,728.0,93468,60,3,1.261,0
CUST0077,36,70157.0,1.5,619.0,58621,36,7,0.836,1
CUST0078,32,44733.0,0.0,850.0,41903,36,5,0.937,0
CUST0079,46,72897.0,4.8,615.0,47874,24,5,0.657,1
CUST0080,51,84208.0,7.8,621.0,59353,24,6,0.705,1
CUST0081,62,86519.0,10.3,748.0,86109,48,1,0.995,0
CUST0082,41,111731.0,13.7,838.0,83087,60,6,0.744,0
CUST0083,29,89854.0,8.8,714.0,79066,60,7,0.88,0
CUST0084,57,95663.0,7.3,742.0,67435,48,7,0.705,0
CUST0085,49,115634.0,10.0,604.0,79198,48,4,0.685,1
CUST0086,52,109460.0,8.2,669.0,51143,36,6,0.467,0
CUST0087,27,57316.0,4.0,607.0,5000,24,7,0.087,1
CUST0088,36,82856.0,7.1,576.0,56388,48,6,0.681,1
CUST0089,55,92546.0,12.0,732.0,70652,24,7,0.763,0
CUST0090,57,93910.0,9.3,567.0,42138,24,6,0.449,1
CUST0091,41,83284.0,10.9,631.0,61705,60,3,0.741,0
CUST0092,56,107921.0,6.5,670.0,82123,36,5,0.761,0
CUST0093,58,103855.0,10.6,668.0,30459,24,3,0.293,0
CUST0094,39,103470.0,15.4,770.0,57470,60,6,0.555,0
CUST0095,60,120544.0,11.6,752.0,99368,60,6,0.824,0
CUST0096,35,57201.0,10.9,766.0,51416,24,7,0.899,0
CUST0097,33,43068.0,6.3,732.0,6920,36,4,0.161,0
CUST0098,51,109098.0,11.1,800.0,85309,36,3,0.782,0
CUST0099,49,89067.0,8.7,709.0,89293,48,1,1.003,0
CUST0100,28,68817.0,4.5,703.0,68708,60,5,0.998,1
CUST0101,57,68904.0,7.9,732.0,49582,36,4,0.72,0
CUST0102,31,74471.0,7.0,706.0,45558,48,4,0.612,1
CUST0103,56,117073.0,7.5,687.0,73959,36,5,0.632,0
CUST0104,23,81443.0,6.3,674.0,71374,60,6,0.876,1
CUST0105,56,110646.0,13.7,685.0,87277,36,1,0.789,0
CUST0106,56,93694.0,11.4,750.0,84117,24,3,0.898,0
CUST0107,55,86121.0,9.1,704.0,67492,36,5,0.784,0
CUST0108,50,62762.0,10.5,665.0,65084,60,6,1.037,0
CUST0109,42,81945.0,6.6,654.0,63540,48,6,0.775,1
CUST0110,52,114682.0,12.4,655.0,103275,12,6,0.901,0
CUST0111,34,29666.0,0.3,715.0,41408,12,6,1.396,1
CUST0112,55,81439.0,8.9,712.0,43380,36,7,0.533,0
CUST0113,46,46758.0,2.0,609.0,5000,60,4,0.107,1
CUST0114,42,51020.0,2.9,723.0,72222,36,1,1.416,1
CUST0115,44,99442.0,12.4,693.0,80228,36,4,0.807,0
CUST0116,46,64134.0,11.2,,10382,48,5,0.162,0
CUST0117,24,64434.0,2.1,,32621,36,0,0.506,0
CUST0118,28,62088.0,0.3,627.0,63547,60,6,1.023,1
CUST0119,33,48093.0,0.0,629.0,29917,48,4,0.622,1
CUST0120,27,23009.0,3.2,665.0,5991,48,7,0.26,1
CUST0121,41,91954.0,15.2,813.0,99785,48,1,1.085,0
CUST0122,51,114294.0,10.7,728.0,62680,48,7,0.548,0
CUST0123,50,42150.0,7.3,609.0,14053,12,3,0.333,0
CUST0124,42,81367.0,9.1,743.0,65676,36,4,0.807,0
CUST0125,58,63700.0,5.6,655.0,56365,12,5,0.885,0
CUST0126,46,94549.0,7.4,828.0,81831,36,4,0.865,0
